age,Gender,Purchase_Frequency,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,Purchase_Categories_Beauty and Personal Care,Purchase_Categories_Clothing and Fashion,Purchase_Categories_Groceries and Gourmet Food,Purchase_Categories_others,Purchase_Categories_Home and Kitchen,Day_sin,Day_cos,Hour_sin,Hour_cos
-0.9613042612121236,Female,Less than once a month,0.0,Few times a month,Keyword,Multiple pages,0.0,Maybe,Sometimes,others,Never,No,Heavily,Yes,2,Yes,1.0,0.0,Wide product selection,Shipping speed and reliability,0,1,0,0,0,0.7431448254773941,0.6691306063588582,-0.8660254037844386,0.5000000000000001
-0.7649333194918324,Female,Few times a month,1.0,Few times a month,Keyword,Multiple pages,0.0,Yes,Sometimes,High shipping costs,Rarely,No,Moderately,Yes,2,Sometimes,2.0,1.0,Wide product selection,Customer service responsiveness,1,0,0,0,1,0.7431448254773941,0.6691306063588582,-0.8660254037844386,0.5000000000000001
-0.5685623777715411,Female,Less than once a month,0.0,Few times a week,Keyword,Multiple pages,0.0,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Heavily,Yes,4,Sometimes,2.0,1.0,Wide product selection,Product quality and accuracy,1,0,0,0,0,0.7431448254773941,0.6691306063588582,-0.8660254037844386,0.5000000000000001
3.260670985774138,Male,Once a week,0.0,Few times a month,Keyword,Multiple pages,2.0,No,Often,Changed my mind or no longer need the item,Never,No,Occasionally,Yes,2,Yes,0.0,1.0,Competitive prices,Reducing packaging waste,0,0,1,0,0,0.7431448254773941,0.6691306063588582,-0.8660254037844386,0.5000000000000001
-0.7649333194918324,Female,Once a month,0.0,Few times a month,others,First page,0.0,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,3,Sometimes,2.0,1.0,User-friendly website/app interface,Customer service responsiveness,0,1,0,0,0,0.7431448254773941,0.6691306063588582,-0.8660254037844386,0.5000000000000001
-0.9613042612121236,Male,Less than once a month,0.0,Few times a week,others,Multiple pages,0.0,Yes,Never,others,Never,No,Never,Sometimes,3,Sometimes,2.0,2.0,other,other,0,0,0,1,0,0.7431448254773941,0.6691306063588582,-0.8660254037844386,0.5000000000000001
-1.4522316155128518,Female,Less than once a month,0.0,Few times a month,categories,Multiple pages,1.0,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,3,Yes,1.0,1.0,Wide product selection,Shipping speed and reliability,0,1,0,0,0,0.7431448254773941,0.6691306063588582,-0.7071067811865477,0.7071067811865474
-0.7649333194918324,Female,Few times a month,0.0,Few times a month,Keyword,Multiple pages,0.0,Maybe,Rarely,others,Rarely,Yes,Heavily,Yes,3,Sometimes,0.0,0.0,Competitive prices,Customer service responsiveness,1,1,0,1,0,0.7431448254773941,0.6691306063588582,-0.7071067811865477,0.7071067811865474
-0.6667478486316868,Female,Multiple times a week,2.0,Few times a week,categories,Multiple pages,0.0,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,No,2,No,1.0,2.0,User-friendly website/app interface,Product quality and accuracy,0,0,1,0,0,0.7431448254773941,0.6691306063588582,-0.7071067811865477,0.7071067811865474
-0.863118790351978,Female,Less than once a month,0.0,Few times a week,Keyword,Multiple pages,0.0,Yes,Sometimes,Found a better price elsewhere,Often,No,Heavily,Yes,3,Sometimes,1.0,1.0,Wide product selection,Shipping speed and reliability,1,1,0,0,0,0.7431448254773941,0.6691306063588582,-0.7071067811865477,0.7071067811865474
